date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
2020-10-21,159.5,162.13,159.5,161.18,1456729,20442,161.22863,159.19,False,True,200.0
2020-10-22,161.37,163.225,161.25,162.38,878752,14147,162.343953,161.18,False,True,631.0
2020-10-23,162.965,164.61,162.25,163.49,1111249,18123,163.388442,163.42,True,True,59324.0
2020-10-26,162.0,162.95,158.96,160.48,1151627,19757,160.461842,162.18,True,False,35650.0
2020-10-27,160.84,164.48,160.625,162.47,1851260,20911,162.964492,161.29,True,True,42180.0
2020-10-28,159.76,161.5135,158.16,158.69,2160704,25951,159.200083,160.66,True,False,62734.0
2020-10-29,159.46,162.45,158.13,161.19,1539036,22471,160.660366,159.05,False,True,1101.0
2020-10-30,159.8,161.32,156.25,158.55,2078341,25333,158.131086,160.85,True,False,60316.0
2020-11-02,161.43,163.26,160.71,162.89,1516572,26844,162.280315,162.0,False,True,120.0
2020-11-03,164.64,165.49,162.9,163.14,1519517,22219,163.95336,164.26,False,False,114489.0
2020-11-04,166.34,176.17,165.97,174.35,5304303,63224,172.97515,167.3859,True,True,932.0
2020-11-05,174.6,176.64,170.38,170.9,2539305,32492,172.445606,180.0,False,False,158.0
2020-11-06,172.0,172.62,166.26,169.25,2008167,26840,169.407175,170.36,False,False,74934.0
2020-11-09,176.15,176.41,165.01,165.2,2325476,36211,168.645798,171.8945,False,False,128.0
2020-11-10,166.04,166.9599,160.485,162.56,2926603,36291,162.740301,165.2,False,False,200.0
2020-11-11,164.95,165.92,163.33,164.95,1570153,22184,164.49854,164.57,False,True,200.0
2020-11-12,164.16,166.6,163.79,165.19,1183133,19235,165.014764,164.32,True,True,42704.0
2020-11-13,165.46,167.025,164.51,165.78,1666613,21337,165.740019,165.19,False,True,165.0
2020-11-16,166.37,168.52,164.6,165.29,1561646,21874,165.986262,167.77,False,False,156.0
2020-11-17,164.49,166.11,164.07,165.43,1215893,18064,165.339645,164.545,True,True,42953.0
2020-11-18,165.1,166.33,163.42,163.5,1457816,19208,164.209751,165.3635,False,False,331.0
2020-11-19,164.07,166.94,163.54,166.31,1329244,20715,165.868669,162.5,False,True,201.0
2020-11-20,166.86,168.16,166.14,166.2,1217711,19066,166.906651,166.68,True,False,321.0
2020-11-23,166.15,167.21,162.14,164.34,1493220,22553,163.971083,166.08,False,False,66330.0
2020-11-24,164.39,166.25,160.47,161.06,2425927,31272,162.402542,165.0,False,False,140.0
2020-11-25,162.37,162.68,159.245,160.19,1981777,25856,160.14585,161.98,True,False,230.0
2020-11-27,161.61,162.185,160.29,161.47,853298,14690,161.224314,161.46,True,True,770.0
2020-11-30,162.19,162.48,159.65,160.38,4533959,35925,160.406162,161.95,False,False,121.0
2020-12-01,161.64,162.48,159.985,161.36,2137860,26988,161.146424,162.42,False,False,382.0
2020-12-02,161.0,161.835,158.48,158.95,1529397,22240,159.702454,160.5,False,False,1291.0
2020-12-03,158.58,159.085,156.44,157.07,2354605,26977,157.266736,158.28,False,False,97780.0
2020-12-04,157.16,158.22,156.66,157.95,1497282,22597,157.531556,157.2513,False,True,200.0
2020-12-07,157.56,159.2,157.56,158.45,1407087,20085,158.403227,157.6,False,True,182.0
2020-12-08,156.59,159.5,156.47,158.99,1594036,21635,158.383411,157.99,False,True,100.0
2020-12-09,159.69,160.165,157.66,158.7,1510417,20347,158.632424,159.74,True,False,104900.0
2020-12-10,159.99,160.47,157.89,158.12,1847099,19916,158.486242,159.5,False,False,600.0
2020-12-11,157.55,159.62,157.16,159.53,1264679,18162,158.942595,157.57,True,True,52793.0
2020-12-14,160.1,162.87,159.085,159.5,1613027,23186,160.34143,160.8,False,False,230.0
2020-12-15,160.29,162.11,158.36,161.96,1911106,21843,161.080263,160.24,False,True,60320.0
2020-12-16,162.47,163.33,160.54,160.62,1440917,20985,161.422126,161.56,False,False,57653.0
2020-12-17,161.75,163.97,161.24,162.7,1486986,21843,162.578036,162.13,True,True,125466.0
2020-12-18,162.65,164.54,161.05,163.63,3566379,22489,163.170877,162.7,False,True,7766.0
2020-12-21,160.95,161.56,158.3,160.84,1463787,22497,160.379379,162.96,False,False,100.0
2020-12-22,160.53,162.375,159.64,161.83,1209169,18500,161.436119,160.0,False,True,509.0
2020-12-23,162.0,162.98,159.84,159.85,1164579,17086,160.535936,162.16,True,False,56909.0
2020-12-24,159.92,161.8699,159.85,160.72,417444,6756,160.894781,161.38,True,False,44117.0
2020-12-28,161.44,162.83,160.31,162.39,1522435,16201,161.914398,161.2,False,True,88200.0
2020-12-29,163.32,165.1,162.4,163.12,1188357,18828,163.480778,163.96,True,False,45553.0
2020-12-30,163.51,164.8,163.16,164.27,1008988,15960,164.189813,163.32,False,True,25758.0
2020-12-31,164.5,165.675,163.23,165.5,1292649,13944,164.776435,163.35,False,True,27808.0
2021-01-04,166.0,166.24,160.72,163.59,1805925,27417,163.264896,166.0,False,False,100.0
2021-01-05,163.15,165.29,162.5,164.73,1358576,19545,164.160051,163.705,True,True,59816.0
2021-01-06,162.92,167.91,162.67,167.15,2139772,23354,166.32325,163.82,False,True,1379.0
2021-01-07,167.82,168.8,166.7,167.0,1710746,21831,167.548184,168.15,False,False,463.0
2021-01-08,167.4,169.88,166.69,168.11,1476016,21842,168.306792,168.18,True,False,70753.0
2021-01-11,167.9,170.49,167.58,169.39,1117009,17939,169.146674,168.22,True,True,76077.0
2021-01-12,169.02,169.75,164.2569,166.12,1304190,22453,166.5607,168.89,False,False,1088.0
2021-01-13,165.34,166.05,161.64,161.95,2603060,32997,163.494825,165.1,False,False,1078.0
2021-01-14,162.91,163.38,160.9,160.96,2213940,28866,161.990019,162.23,True,False,500.0
2021-01-15,161.43,162.1,159.62,161.56,2516495,27427,161.229942,161.18,False,True,219118.0
2021-01-19,162.37,163.95,161.25,162.57,1464265,21023,162.575932,161.48,False,True,104811.0
2021-01-20,162.56,164.2,161.83,163.36,1617993,22901,163.341508,162.28,False,True,69440.0
2021-01-21,162.63,165.75,162.47,164.46,2440414,24348,164.564349,162.56,False,True,1650.0
2021-01-22,164.65,165.195,162.64,163.33,1079071,19627,163.574107,164.38,False,False,53188.0
2021-01-25,163.43,163.19,160.43,161.34,1444111,17300,161.709605,162.0,False,False,835.0
2021-01-26,161.35,161.64,158.56,159.71,1982312,24497,160.167327,160.595,False,False,60055.0
2021-01-27,157.93,158.275,152.55,153.15,2235674,34237,154.892827,158.5,False,False,518.0
2021-01-28,154.3,160.65,154.2501,156.53,1859337,25978,157.976828,153.75,False,True,250.0
2021-01-29,155.65,156.57,152.3,154.25,1977226,28498,154.335321,156.53,False,False,9966.0
2021-02-01,156.2,157.035,154.25,155.58,1885756,25217,155.718628,155.44,False,True,103.0
2021-02-02,157.34,159.69,157.27,157.39,1583001,21662,158.259403,157.84,True,False,1057.0
2021-02-03,157.2,158.29,155.09,155.23,1726227,23440,155.941743,158.0,False,False,200.0
2021-02-04,156.12,157.26,154.58,157.13,1888056,21480,156.645195,155.05,False,True,89529.0
2021-02-05,157.89,160.265,157.6,159.28,1377771,20077,159.363609,159.83,True,False,89304.0
2021-02-08,160.4,161.89,158.5,160.02,1625403,18843,159.820362,161.0929,True,False,96007.0
2021-02-09,159.81,161.795,159.01,159.83,1852847,24691,160.328132,160.31,True,False,103231.0
2021-02-10,161.27,162.7325,160.17,160.62,1745976,19723,160.890262,161.47,True,False,1948.0
2021-02-11,161.15,164.73,160.4,164.44,1860345,23714,163.458882,160.62,False,True,100.0
2021-02-12,163.61,167.75,163.61,166.71,2188658,26731,166.430389,164.57,False,True,282.0
2021-02-16,167.98,169.89,163.63,166.32,2609735,32591,166.047564,168.3,False,False,134.0
2021-02-17,165.82,169.85,165.0,168.9,1561762,23550,168.189261,166.75,False,True,1977.0
2021-02-18,167.71,170.07,165.72,167.95,1954227,24136,168.175043,167.0038,False,True,134910.0
2021-02-19,167.88,168.025,159.41,160.0,3793058,38920,161.48174,165.72,False,False,172556.0
2021-02-22,159.0,161.01,158.26,160.16,2908206,27910,159.927536,160.0,False,True,213.0
2021-02-23,160.5,161.8,159.24,159.52,1810990,27382,160.187501,160.44,True,False,1392.0
2021-02-24,160.64,161.61,158.84,159.05,2495911,25862,159.646453,161.46,False,False,1136.0
2021-02-25,158.5,159.45,155.75,156.48,2060008,29459,157.085213,158.37,False,False,123853.0
2021-02-26,157.14,157.46,154.95,155.24,2561854,33527,155.72853,156.8,False,False,130.0
2021-03-01,156.11,159.95,155.93,157.69,1680112,23544,158.092505,155.24,False,True,4500.0
2021-03-02,158.39,159.55,155.53,157.05,2039522,22750,157.097514,157.33,False,False,75138.0
2021-03-03,155.08,155.81,149.19,149.32,3392701,39940,150.779214,157.05,False,False,125.0
2021-03-04,148.61,149.0,142.2195,144.0,6115220,71302,145.455936,148.61,False,False,836.0
2021-03-05,145.25,146.04,141.41,145.68,3520693,38306,143.964813,146.38,True,False,1207.0
2021-03-08,148.13,149.6,145.02,145.15,2303143,29051,147.184966,149.98,False,False,200.0
2021-03-09,147.5,153.49,147.345,150.14,3121545,35558,151.263721,147.04,True,True,987.0
2021-03-10,150.45,152.7,148.575,151.09,2119202,29676,151.57974,150.52,False,True,220.0
2021-03-11,152.66,153.55,152.1901,152.36,1456814,22284,152.679232,152.5,False,False,188.0
